date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:13	32819/32819	---MCZ	200	added ('OK')	text/html	etag:W/%226142c459-8033%22	https://www.bootstrapdash.com/demo/purple-admin-free/index.html	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/index.html	(from )
09:10:14	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
09:10:14	163361/163361	---MCZ	200	added ('OK')	text/css	etag:W/%226142c459-27e21%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/vendors/mdi/css/materialdesignicons.min.css	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/vendors/mdi/css/materialdesignicons.min.css	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:15	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%226142c459-a26%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/vendors/css/vendor.bundle.base.css	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/vendors/css/vendor.bundle.base.css	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:15	391470/391470	---MCZ	200	added ('OK')	text/css	etag:W/%226142c459-5f92e%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:15	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226142c459-10be%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/favicon.ico	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/favicon.ico	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:15	5595/5595	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226142c459-15db%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/logo.svg	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/logo.svg	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:16	2007/2007	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226142c459-7d7%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/logo-mini.svg	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/logo-mini.svg	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:16	12977/12977	---M--	200	added ('OK')	image/jpeg	etag:%226142c459-32b1%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces/face1.jpg	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces/face1.jpg	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
09:10:16	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%226142c459-2dd0%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces/face4.jpg	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces/face4.jpg	(from https://www.bootstrapdash.com/demo/purple-admin-free/index.html)
